0.0302721 0.0302721 0.0302721 0.0302721 0.0302721 0.0302721 0.0302721 0.0302721 0.0302721 0.0302721 0.0302721 0.0302721 0.0302721 0.0302721 0.0302721 0.0302721 0.0302721 0.0302721 0.0302721 0.0302721 0.0302721 0.0302721 0.0302721 0.0302721 0.0302721 0.0302721 0.0302721 0.0302721 0.0302721 0.0302721 0.0302721 
0.079149 0.079149 0.079149 0.079149 0.079149 0.079149 0.079149 0.079149 0.079149 0.079149 0.079149 0.079149 0.079149 0.079149 0.079149 0.079149 0.079149 0.079149 0.079149 0.079149 0.079149 0.079149 0.079149 0.079149 0.079149 0.079149 0.079149 0.079149 0.079149 0.079149 0.079149 
0.117976 0.117976 0.117976 0.117976 0.117976 0.117976 0.117976 0.117976 0.117976 0.117976 0.117976 0.117976 0.117976 0.117976 0.117976 0.117976 0.117976 0.117976 0.117976 0.117976 0.117976 0.117976 0.117976 0.117976 0.117976 0.117976 0.117976 0.117976 0.117976 0.117976 0.117976 
0.148306 0.148306 0.148306 0.148306 0.148306 0.148306 0.148306 0.148306 0.148306 0.148306 0.148306 0.148306 0.148306 0.148306 0.148306 0.148306 0.148306 0.148306 0.148306 0.148306 0.148306 0.148306 0.148306 0.148306 0.148306 0.148306 0.148306 0.148306 0.148306 0.148306 0.148306 
0.171589 0.171589 0.171589 0.171589 0.171589 0.171589 0.171589 0.171589 0.171589 0.171589 0.171589 0.171589 0.171589 0.171589 0.171589 0.171589 0.171589 0.171589 0.171589 0.171589 0.171589 0.171589 0.171589 0.171589 0.171589 0.171589 0.171589 0.171589 0.171589 0.171589 0.171589 
0.189143 0.189143 0.189143 0.189143 0.189143 0.189143 0.189143 0.189143 0.189143 0.189143 0.189143 0.189143 0.189143 0.189143 0.189143 0.189143 0.189143 0.189143 0.189143 0.189143 0.189143 0.189143 0.189143 0.189143 0.189143 0.189143 0.189143 0.189143 0.189143 0.189143 0.189143 
0.202135 0.202135 0.202135 0.202135 0.202135 0.202135 0.202135 0.202135 0.202135 0.202135 0.202135 0.202135 0.202135 0.202135 0.202135 0.202135 0.202135 0.202135 0.202135 0.202135 0.202135 0.202135 0.202135 0.202135 0.202135 0.202135 0.202135 0.202135 0.202135 0.202135 0.202135 
0.211569 0.211569 0.211569 0.211569 0.211569 0.211569 0.211569 0.211569 0.211569 0.211569 0.211569 0.211569 0.211569 0.211569 0.211569 0.211569 0.211569 0.211569 0.211569 0.211569 0.211569 0.211569 0.211569 0.211569 0.211569 0.211569 0.211569 0.211569 0.211569 0.211569 0.211569 
0.218286 0.218286 0.218286 0.218286 0.218286 0.218286 0.218286 0.218286 0.218286 0.218286 0.218286 0.218286 0.218286 0.218286 0.218286 0.218286 0.218286 0.218286 0.218286 0.218286 0.218286 0.218286 0.218286 0.218286 0.218286 0.218286 0.218286 0.218286 0.218286 0.218286 0.218286 
0.222973 0.222973 0.222973 0.222973 0.222973 0.222973 0.222973 0.222973 0.222973 0.222973 0.222973 0.222973 0.222973 0.222973 0.222973 0.222973 0.222973 0.222973 0.222973 0.222973 0.222973 0.222973 0.222973 0.222973 0.222973 0.222973 0.222973 0.222973 0.222973 0.222973 0.222973 
