#  X     Y
0.0500647 -0.967742
0.149431 -0.903226
0.246548 -0.83871
0.340042 -0.774194
0.428715 -0.709677
0.511572 -0.645161
0.58783 -0.580645
0.656896 -0.516129
0.718346 -0.451613
0.771895 -0.387097
0.817373 -0.322581
0.854681 -0.258065
0.883757 -0.193548
0.904558 -0.129032
0.917053 -0.0645161
0.921224 -6.66134e-16
0.917061 0.0645161
0.904566 0.129032
0.883753 0.193548
0.854657 0.258065
0.817332 0.322581
0.771853 0.387097
0.718318 0.451613
0.656888 0.516129
0.587835 0.580645
0.511579 0.645161
0.428718 0.709677
0.340042 0.774194
0.246547 0.83871
0.149431 0.903226
0.0500647 0.967742

