0.142969 0.142969 0.142969 0.142969 0.142969 0.142969 0.142969 0.142969 0.142969 0.142969 0.142969 0.142969 0.142969 0.142969 0.142969 0.142969 0.142969 0.142969 0.142969 0.142969 
0.400312 0.400312 0.400312 0.400312 0.400312 0.400312 0.400312 0.400312 0.400312 0.400312 0.400312 0.400312 0.400312 0.400312 0.400312 0.400312 0.400312 0.400312 0.400312 0.400312 
0.629062 0.629062 0.629062 0.629062 0.629062 0.629062 0.629062 0.629062 0.629062 0.629062 0.629062 0.629062 0.629062 0.629062 0.629062 0.629062 0.629062 0.629062 0.629062 0.629062 
0.829219 0.829219 0.829219 0.829219 0.829219 0.829219 0.829219 0.829219 0.829219 0.829219 0.829219 0.829219 0.829219 0.829219 0.829219 0.829219 0.829219 0.829219 0.829219 0.829219 
1.00078 1.00078 1.00078 1.00078 1.00078 1.00078 1.00078 1.00078 1.00078 1.00078 1.00078 1.00078 1.00078 1.00078 1.00078 1.00078 1.00078 1.00078 1.00078 1.00078 
1.14375 1.14375 1.14375 1.14375 1.14375 1.14375 1.14375 1.14375 1.14375 1.14375 1.14375 1.14375 1.14375 1.14375 1.14375 1.14375 1.14375 1.14375 1.14375 1.14375 
1.25812 1.25812 1.25812 1.25812 1.25812 1.25812 1.25812 1.25812 1.25812 1.25812 1.25812 1.25812 1.25812 1.25812 1.25812 1.25812 1.25812 1.25812 1.25812 1.25812 
1.34391 1.34391 1.34391 1.34391 1.34391 1.34391 1.34391 1.34391 1.34391 1.34391 1.34391 1.34391 1.34391 1.34391 1.34391 1.34391 1.34391 1.34391 1.34391 1.34391 
1.40109 1.40109 1.40109 1.40109 1.40109 1.40109 1.40109 1.40109 1.40109 1.40109 1.40109 1.40109 1.40109 1.40109 1.40109 1.40109 1.40109 1.40109 1.40109 1.40109 
1.42969 1.42969 1.42969 1.42969 1.42969 1.42969 1.42969 1.42969 1.42969 1.42969 1.42969 1.42969 1.42969 1.42969 1.42969 1.42969 1.42969 1.42969 1.42969 1.42969 
1.42969 1.42969 1.42969 1.42969 1.42969 1.42969 1.42969 1.42969 1.42969 1.42969 1.42969 1.42969 1.42969 1.42969 1.42969 1.42969 1.42969 1.42969 1.42969 1.42969 
1.40109 1.40109 1.40109 1.40109 1.40109 1.40109 1.40109 1.40109 1.40109 1.40109 1.40109 1.40109 1.40109 1.40109 1.40109 1.40109 1.40109 1.40109 1.40109 1.40109 
1.34391 1.34391 1.34391 1.34391 1.34391 1.34391 1.34391 1.34391 1.34391 1.34391 1.34391 1.34391 1.34391 1.34391 1.34391 1.34391 1.34391 1.34391 1.34391 1.34391 
1.25812 1.25812 1.25812 1.25812 1.25812 1.25812 1.25812 1.25812 1.25812 1.25812 1.25812 1.25812 1.25812 1.25812 1.25812 1.25812 1.25812 1.25812 1.25812 1.25812 
1.14375 1.14375 1.14375 1.14375 1.14375 1.14375 1.14375 1.14375 1.14375 1.14375 1.14375 1.14375 1.14375 1.14375 1.14375 1.14375 1.14375 1.14375 1.14375 1.14375 
1.00078 1.00078 1.00078 1.00078 1.00078 1.00078 1.00078 1.00078 1.00078 1.00078 1.00078 1.00078 1.00078 1.00078 1.00078 1.00078 1.00078 1.00078 1.00078 1.00078 
0.829219 0.829219 0.829219 0.829219 0.829219 0.829219 0.829219 0.829219 0.829219 0.829219 0.829219 0.829219 0.829219 0.829219 0.829219 0.829219 0.829219 0.829219 0.829219 0.829219 
0.629062 0.629062 0.629062 0.629062 0.629062 0.629062 0.629062 0.629062 0.629062 0.629062 0.629062 0.629062 0.629062 0.629062 0.629062 0.629062 0.629062 0.629062 0.629062 0.629062 
0.400312 0.400312 0.400312 0.400312 0.400312 0.400312 0.400312 0.400312 0.400312 0.400312 0.400312 0.400312 0.400312 0.400312 0.400312 0.400312 0.400312 0.400312 0.400312 0.400312 
0.142969 0.142969 0.142969 0.142969 0.142969 0.142969 0.142969 0.142969 0.142969 0.142969 0.142969 0.142969 0.142969 0.142969 0.142969 0.142969 0.142969 0.142969 0.142969 0.142969 
