#  X     Y
0.0595855 -0.967742
0.176524 -0.903226
0.287728 -0.83871
0.391416 -0.774194
0.486956 -0.709677
0.574201 -0.645161
0.653155 -0.580645
0.723839 -0.516129
0.786266 -0.451613
0.840432 -0.387097
0.886319 -0.322581
0.923903 -0.258065
0.953161 -0.193548
0.974073 -0.129032
0.986626 -0.0645161
0.990812 -6.66134e-16
0.98663 0.0645161
0.97408 0.129032
0.953171 0.193548
0.923913 0.258065
0.886325 0.322581
0.84043 0.387097
0.786251 0.451613
0.723807 0.516129
0.653109 0.580645
0.574147 0.645161
0.486905 0.709677
0.391382 0.774194
0.287718 0.83871
0.176533 0.903226
0.059594 0.967742

