-0.78891 -0.496883 -0.200601 0.0970287 0.393095 0.684712 0.96905 1.24336 1.50501 1.7515 1.98047 2.18978 2.37744 2.54171 2.68108 2.79427 2.88024 2.93825 2.96778 2.9686 2.94076 2.88455 2.80053 2.68953 2.55261 2.39108 2.20645 2.00048 1.77509 1.53241 1.27471 1.0044 0.724022 0.436217 0.143693 -0.150785 -0.444429 -0.734446 -1.01807 -1.29257 -1.55532 -1.80376 -2.03548 -2.24821 -2.43984 -2.60849 -2.75246 -2.87029 -2.96079 -3.02301 -3.0563 -3.06028 -3.03486 -2.98025 -2.89696 -2.78576 -2.64775 -2.48425 -2.29688 -2.08748 -1.85812 -1.61107 -1.34877 -1.07381 -0.78891 -0.496883 -0.200601 0.0970287 0.393095 0.684712 
-0.78891 -0.496883 -0.200601 0.0970287 0.393095 0.684712 0.96905 1.24336 1.50501 1.7515 1.98047 2.18978 2.37744 2.54171 2.68108 2.79427 2.88024 2.93825 2.96778 2.9686 2.94076 2.88455 2.80053 2.68953 2.55261 2.39108 2.20645 2.00048 1.77509 1.53241 1.27471 1.0044 0.724022 0.436217 0.143693 -0.150785 -0.444429 -0.734446 -1.01807 -1.29257 -1.55532 -1.80376 -2.03548 -2.24821 -2.43984 -2.60849 -2.75246 -2.87029 -2.96079 -3.02301 -3.0563 -3.06028 -3.03486 -2.98025 -2.89696 -2.78576 -2.64775 -2.48425 -2.29688 -2.08748 -1.85812 -1.61107 -1.34877 -1.07381 -0.78891 -0.496883 -0.200601 0.0970287 0.393095 0.684712 
-0.690777 -0.437241 -0.179968 0.0785251 0.335715 0.589099 0.836219 1.07469 1.30221 1.51661 1.71583 1.898 2.06138 2.20445 2.32588 2.42454 2.49953 2.55017 2.57602 2.57687 2.55275 2.50391 2.43084 2.33426 2.21508 2.07445 1.91371 1.73438 1.53815 1.32687 1.10252 0.867238 0.623226 0.37279 0.118299 -0.137836 -0.393184 -0.645311 -0.89181 -1.13032 -1.35853 -1.57425 -1.77538 -1.95995 -2.12616 -2.27236 -2.3971 -2.49913 -2.57741 -2.63116 -2.65979 -2.663 -2.64072 -2.59314 -2.52069 -2.42407 -2.3042 -2.16225 -1.99961 -1.81787 -1.61881 -1.4044 -1.17674 -0.938088 -0.690777 -0.437241 -0.179968 0.0785251 0.335715 0.589099 
-0.636497 -0.404188 -0.16843 0.0684735 0.304213 0.536495 0.763068 0.981743 1.19041 1.38708 1.56985 1.73701 1.88695 2.01828 2.12976 2.22036 2.28924 2.33578 2.35957 2.3604 2.33831 2.29351 2.22647 2.13783 2.02844 1.89937 1.75182 1.58721 1.4071 1.21318 1.00728 0.791368 0.567467 0.337699 0.104241 -0.130691 -0.364865 -0.596047 -0.822027 -1.04064 -1.24978 -1.44743 -1.63166 -1.8007 -1.95288 -2.0867 -2.20084 -2.29416 -2.36573 -2.41481 -2.44089 -2.4437 -2.42317 -2.37948 -2.31303 -2.22445 -2.1146 -1.98453 -1.83553 -1.66904 -1.48669 -1.29027 -1.08172 -0.863083 -0.636497 -0.404188 -0.16843 0.0684735 0.304213 0.536495 
-0.578836 -0.369051 -0.156126 0.0578643 0.270835 0.480718 0.685478 0.883135 1.07178 1.24961 1.41491 1.56612 1.70178 1.82062 1.92153 2.00355 2.06593 2.10809 2.12966 2.13046 2.1105 2.06999 2.00933 1.92911 1.83012 1.7133 1.57977 1.4308 1.2678 1.09232 0.906028 0.710689 0.508154 0.300344 0.0892327 -0.123174 -0.334852 -0.543782 -0.747967 -0.945448 -1.13433 -1.31278 -1.47909 -1.63162 -1.7689 -1.88959 -1.99248 -2.07657 -2.141 -2.18514 -2.20853 -2.21091 -2.19224 -2.15268 -2.0926 -2.01256 -1.91334 -1.79589 -1.66136 -1.51105 -1.34643 -1.16911 -0.980832 -0.783429 -0.578836 -0.369051 -0.156126 0.0578643 0.270835 0.480718 
-0.528158 -0.338141 -0.145253 0.0486264 0.241612 0.43183 0.617436 0.796635 0.967698 1.12898 1.27892 1.4161 1.5392 1.64706 1.73865 1.81312 1.86976 1.90805 1.92766 1.92839 1.91028 1.87351 1.81844 1.74561 1.65573 1.54966 1.42843 1.29318 1.14522 0.985942 0.81687 0.639612 0.455853 0.267339 0.0758667 -0.116742 -0.30865 -0.498024 -0.683054 -0.861965 -1.03304 -1.19463 -1.34518 -1.48322 -1.60742 -1.71656 -1.80958 -1.88555 -1.94373 -1.98353 -2.00454 -2.00655 -1.98952 -1.95359 -1.89909 -1.82655 -1.73666 -1.63029 -1.50845 -1.37234 -1.22328 -1.06272 -0.892223 -0.713455 -0.528158 -0.338141 -0.145253 0.0486264 0.241612 0.43183 
-0.481851 -0.309873 -0.135274 0.0402487 0.21499 0.387254 0.555371 0.717713 0.872712 1.01887 1.15478 1.27914 1.39076 1.48857 1.57163 1.63918 1.69055 1.72529 1.74307 1.74373 1.72728 1.6939 1.64391 1.57781 1.49623 1.39997 1.28996 1.16724 1.033 0.888511 0.735165 0.574421 0.407812 0.236928 0.0633995 -0.111119 -0.28496 -0.456463 -0.623988 -0.785928 -0.940731 -1.08691 -1.22305 -1.34785 -1.46009 -1.55869 -1.64267 -1.71123 -1.76369 -1.79952 -1.81837 -1.82003 -1.80449 -1.77186 -1.72247 -1.65677 -1.57539 -1.47911 -1.36886 -1.24571 -1.11084 -0.965567 -0.8113 -0.649537 -0.481851 -0.309873 -0.135274 0.0402487 0.21499 0.387254 
-0.439834 -0.284202 -0.126177 0.0327085 0.190913 0.346901 0.499161 0.646217 0.786645 0.919088 1.04226 1.15499 1.25617 1.34485 1.42017 1.48141 1.52799 1.55948 1.57557 1.57614 1.56117 1.53084 1.48543 1.4254 1.35133 1.26394 1.16408 1.05271 0.930896 0.799814 0.660721 0.514948 0.363891 0.208996 0.0517422 -0.106365 -0.263816 -0.419103 -0.570742 -0.717281 -0.857316 -0.989503 -1.11257 -1.22534 -1.32673 -1.41574 -1.49153 -1.55336 -1.60061 -1.63283 -1.6497 -1.65104 -1.63683 -1.60719 -1.56241 -1.5029 -1.42922 -1.34209 -1.24233 -1.13091 -1.0089 -0.877482 -0.737918 -0.591563 -0.439834 -0.284202 -0.126177 0.0327085 0.190913 0.346901 
-0.401642 -0.260845 -0.117862 0.0259221 0.169114 0.310325 0.448186 0.581358 0.708551 0.82853 0.940131 1.04228 1.13397 1.21434 1.2826 1.33809 1.38029 1.4088 1.42334 1.42378 1.41013 1.38253 1.34126 1.28671 1.21943 1.14008 1.04941 0.948321 0.83778 0.718855 0.592692 0.460506 0.323567 0.183189 0.0407165 -0.102484 -0.245042 -0.385594 -0.522795 -0.655334 -0.781941 -0.901407 -1.01259 -1.11442 -1.20592 -1.28622 -1.35454 -1.41023 -1.45274 -1.48166 -1.49671 -1.49774 -1.48472 -1.45778 -1.41717 -1.36326 -1.29656 -1.21772 -1.12748 -1.0267 -0.916351 -0.797493 -0.671268 -0.538892 -0.401642 -0.260845 -0.117862 0.0259221 0.169114 0.310325 
-0.366903 -0.23957 -0.110242 0.0198322 0.149393 0.277184 0.401965 0.522525 0.63769 0.74634 0.847416 0.939935 1.023 1.09579 1.15762 1.20787 1.24606 1.27182 1.28492 1.28522 1.27273 1.24758 1.21002 1.16043 1.09928 1.02719 0.944853 0.853074 0.752745 0.644842 0.530408 0.41055 0.286424 0.159226 0.030178 -0.0994808 -0.228507 -0.355666 -0.479742 -0.599549 -0.713943 -0.821834 -0.922193 -1.01406 -1.09657 -1.16892 -1.23044 -1.28052 -1.3187 -1.3446 -1.35797 -1.35869 -1.34673 -1.32222 -1.28536 -1.23652 -1.17615 -1.10481 -1.02319 -0.932063 -0.832291 -0.724829 -0.610705 -0.491013 -0.366903 -0.23957 -0.110242 0.0198322 0.149393 0.277184 
